empleo_total,establecimientos_total,exportadoras_total,hhi,diversidad_sectorial,max_share_sector,intensidad_export_prom,densidad_estab_prom,salario_promedio_ponderado,top_activity,provincia_id,provincia,in_departamentos,departamento,cluster,cluster_method,k_optimo,silhouette
543181.0,54124.0,2941.0,0.09039128,21,0.15735639,0.0699677,0.1638807,205985.97,K,2,CABA,2007,Comuna 1,3,kmeans,3,0.369519
88651.0,15519.0,574.0,0.09309975,21,0.15982899,0.04919732,0.23324772,177336.94,Q,2,CABA,2014,Comuna 2,3,kmeans,3,0.369519
96510.0,14413.0,430.0,0.10607195,20,0.20662108,0.07573399,0.19527987,183537.98,G,2,CABA,2021,Comuna 3,3,kmeans,3,0.369519
152463.0,10343.0,709.0,0.12271537,20,0.1912464,0.03947478,0.17004623,201467.29,H,2,CABA,2028,Comuna 4,3,kmeans,3,0.369519
66707.0,9027.0,321.0,0.1057061,20,0.17870688,0.07092339,0.23488813,188452.59,Q,2,CABA,2035,Comuna 5,3,kmeans,3,0.369519
41665.0,9505.0,290.0,0.09352895,20,0.1699748,0.04606372,0.29152322,192871.74,G,2,CABA,2042,Comuna 6,3,kmeans,3,0.369519
46164.0,9259.0,282.0,0.10328421,20,0.17931722,0.09542872,0.2546716,196932.92,G,2,CABA,2049,Comuna 7,3,kmeans,3,0.369519
29582.0,3096.0,228.0,0.15285211,19,0.27215875,0.08325343,0.20261677,202610.81,C,2,CABA,2056,Comuna 8,1,kmeans,3,0.369519
48389.0,6811.0,401.0,0.17820558,18,0.3374114,0.08141406,0.23381278,217716.45,C,2,CABA,2063,Comuna 9,3,kmeans,3,0.369519
40393.0,7590.0,240.0,0.14355638,19,0.22095413,0.06407542,0.24311004,195091.09,G,2,CABA,2070,Comuna 10,1,kmeans,3,0.369519
48607.0,8657.0,375.0,0.12094498,20,0.21184192,0.07231288,0.2897298,201047.38,G,2,CABA,2077,Comuna 11,3,kmeans,3,0.369519
63727.0,9735.0,515.0,0.10698721,21,0.17477678,0.06207331,0.31262068,186481.13,G,2,CABA,2084,Comuna 12,3,kmeans,3,0.369519
111298.0,19275.0,725.0,0.08463213,21,0.14697479,0.04857761,0.25520813,189372.86,G,2,CABA,2091,Comuna 13,3,kmeans,3,0.369519
136207.0,21489.0,935.0,0.08074228,21,0.1255956,0.04895783,0.20641098,192321.0,G,2,CABA,2098,Comuna 14,3,kmeans,3,0.369519
82853.0,13234.0,694.0,0.12913788,21,0.25308679,0.06649775,0.23441022,206187.16,G,2,CABA,2105,Comuna 15,3,kmeans,3,0.369519
1761.0,550.0,10.0,0.18325212,16,0.28904032,0.03546345,0.43027442,198120.13,G,6,Buenos Aires,6007,Adolfo Alsina,1,kmeans,3,0.369519
1043.0,372.0,5.0,0.18559837,17,0.32118888,0.02226891,0.47513577,182923.4,A,6,Buenos Aires,6014,Adolfo Gonzales Chaves,1,kmeans,3,0.369519
1531.0,301.0,21.0,0.20836226,18,0.32854344,0.02975344,0.47413239,167987.48,G,6,Buenos Aires,6021,Alberti,1,kmeans,3,0.369519
42327.0,5403.0,262.0,0.14934741,18,0.27415125,0.06768888,0.18687363,223540.31,C,6,Buenos Aires,6028,Almirante Brown,1,kmeans,3,0.369519
59956.0,7741.0,533.0,0.1688212,19,0.32797385,0.10250906,0.17463353,237842.42,C,6,Buenos Aires,6035,Avellaneda,3,kmeans,3,0.369519
1924.0,696.0,8.0,0.22768206,18,0.37422037,0.05462963,0.42595989,180561.83,A,6,Buenos Aires,6042,Ayacucho,1,kmeans,3,0.369519
9371.0,1970.0,39.0,0.12369862,19,0.20232633,0.04300845,0.25577688,223626.05,C,6,Buenos Aires,6049,Azul,1,kmeans,3,0.369519
64116.0,10033.0,295.0,0.11849456,20,0.24220163,0.04620201,0.18939594,197049.83,G,6,Buenos Aires,6056,Bahía Blanca,3,kmeans,3,0.369519
6902.0,1395.0,70.0,0.21287124,19,0.35540423,0.03927652,0.30156024,183892.9,A,6,Buenos Aires,6063,Balcarce,1,kmeans,3,0.369519
4929.0,907.0,29.0,0.15875639,19,0.32562386,0.04008969,0.2954189,227212.67,C,6,Buenos Aires,6070,Baradero,1,kmeans,3,0.369519
3598.0,761.0,32.0,0.18703862,18,0.26347971,0.04550956,0.34573567,194538.86,C,6,Buenos Aires,6077,Arrecifes,1,kmeans,3,0.369519
2191.0,628.0,16.0,0.16377755,18,0.28388864,0.03929067,0.36032066,178578.59,A,6,Buenos Aires,6084,Benito Juárez,1,kmeans,3,0.369519
28710.0,3509.0,198.0,0.15200784,19,0.28585859,0.12611108,0.16939712,225240.12,C,6,Buenos Aires,6091,Berazategui,1,kmeans,3,0.369519
8338.0,918.0,19.0,0.13654111,19,0.23662749,0.05755736,0.24444324,169028.55,F,6,Buenos Aires,6098,Berisso,1,kmeans,3,0.369519
3463.0,1120.0,29.0,0.18032192,17,0.29858504,0.05005537,0.38260965,180994.12,G,6,Buenos Aires,6105,Bolívar,1,kmeans,3,0.369519
5309.0,1075.0,29.0,0.19140908,18,0.36146167,0.0201637,0.32246661,226962.54,C,6,Buenos Aires,6112,Bragado,1,kmeans,3,0.369519
4690.0,672.0,21.0,0.18675956,18,0.35948827,0.01721946,0.2775702,232953.96,C,6,Buenos Aires,6119,Brandsen,1,kmeans,3,0.369519
23261.0,2225.0,115.0,0.14487352,19,0.2973217,0.06685676,0.16706603,225890.2,C,6,Buenos Aires,6126,Campana,1,kmeans,3,0.369519
10047.0,1334.0,60.0,0.23016288,19,0.4271922,0.05133774,0.25395117,239226.15,C,6,Buenos Aires,6134,Cañuelas,1,kmeans,3,0.369519
2726.0,416.0,19.0,0.29138876,17,0.49156273,0.02132138,0.36309154,244373.78,C,6,Buenos Aires,6140,Capitán Sarmiento,1,kmeans,3,0.369519
2751.0,694.0,24.0,0.24586928,19,0.40966921,0.04027889,0.44330057,169844.08,G,6,Buenos Aires,6147,Carlos Casares,1,kmeans,3,0.369519
731.0,284.0,2.0,0.24382206,18,0.43912449,0.00467608,0.61706773,178170.15,A,6,Buenos Aires,6154,Carlos Tejedor,1,kmeans,3,0.369519
2092.0,484.0,18.0,0.24265571,16,0.37667304,0.07743971,0.36783478,200716.51,G,6,Buenos Aires,6161,Carmen de Areco,1,kmeans,3,0.369519
887.0,237.0,1.0,0.16983257,17,0.30439684,0.05882353,0.43220122,191908.88,A,6,Buenos Aires,6168,Castelli,1,kmeans,3,0.369519
3898.0,617.0,40.0,0.27238054,16,0.47434582,0.04858164,0.3303582,239182.32,C,6,Buenos Aires,6175,Colón,1,kmeans,3,0.369519
3227.0,831.0,17.0,0.16027391,18,0.3362256,0.04438298,0.34790105,202027.37,G,6,Buenos Aires,6182,Coronel de Marina Leonardo Rosales,1,kmeans,3,0.369519
1620.0,484.0,3.0,0.215615,17,0.33148148,0.06408983,0.3909932,161397.25,A,6,Buenos Aires,6189,Coronel Dorrego,1,kmeans,3,0.369519
2245.0,695.0,20.0,0.15552602,19,0.26191537,0.03440519,0.37281001,167901.32,G,6,Buenos Aires,6196,Coronel Pringles,1,kmeans,3,0.369519
4741.0,1261.0,37.0,0.17865251,18,0.2518456,0.02674485,0.37280781,200589.68,C,6,Buenos Aires,6203,Coronel Suárez,1,kmeans,3,0.369519
6981.0,1381.0,54.0,0.16300255,18,0.28119181,0.03754294,0.29568216,207125.72,C,6,Buenos Aires,6210,Chacabuco,1,kmeans,3,0.369519
4686.0,1089.0,26.0,0.13368578,18,0.27294067,0.03487033,0.31652982,188879.65,G,6,Buenos Aires,6217,Chascomús,1,kmeans,3,0.369519
8419.0,1863.0,56.0,0.16083509,18,0.30252999,0.02256014,0.28594627,222988.01,C,6,Buenos Aires,6224,Chivilcoy,1,kmeans,3,0.369519
1972.0,545.0,13.0,0.236477,17,0.33874239,0.0205999,0.41163595,166510.73,A,6,Buenos Aires,6231,Daireaux,1,kmeans,3,0.369519
2348.0,615.0,5.0,0.14287451,18,0.28662692,0.03816425,0.33081903,176930.93,G,6,Buenos Aires,6238,Dolores,1,kmeans,3,0.369519
14350.0,898.0,40.0,0.17769962,19,0.32181185,0.04880265,0.20740636,239357.11,C,6,Buenos Aires,6245,Ensenada,1,kmeans,3,0.369519
37585.0,3740.0,327.0,0.18699335,19,0.3669549,0.09262296,0.18389808,241311.17,C,6,Buenos Aires,6252,Escobar,1,kmeans,3,0.369519
35457.0,3742.0,155.0,0.15004979,19,0.2398116,0.12307938,0.18042723,213857.27,H,6,Buenos Aires,6260,Esteban Echeverría,1,kmeans,3,0.369519
3676.0,700.0,36.0,0.13438712,17,0.28454842,0.03633264,0.29741915,222316.87,C,6,Buenos Aires,6266,Exaltación de la Cruz,1,kmeans,3,0.369519
28664.0,2335.0,150.0,0.16116358,19,0.2818518,0.07987765,0.14541634,215883.53,H,6,Buenos Aires,6270,Ezeiza,1,kmeans,3,0.369519
19995.0,2672.0,105.0,0.14756071,19,0.24916229,0.13023755,0.20936754,220510.98,C,6,Buenos Aires,6274,Florencio Varela,1,kmeans,3,0.369519
924.0,276.0,12.0,0.22339818,16,0.3495671,0.02354692,0.50903245,174900.41,A,6,Buenos Aires,6277,Florentino Ameghino,1,kmeans,3,0.369519
3792.0,1198.0,34.0,0.13237604,18,0.2439346,0.09012932,0.39308453,171403.31,G,6,Buenos Aires,6280,General Alvarado,1,kmeans,3,0.369519
737.0,225.0,5.0,0.27928876,18,0.48032564,0.02777778,0.50267806,155692.04,A,6,Buenos Aires,6287,General Alvear,1,kmeans,3,0.369519
1606.0,432.0,18.0,0.17294579,17,0.26774595,0.02460625,0.36876785,185691.21,G,6,Buenos Aires,6294,General Arenales,1,kmeans,3,0.369519
1462.0,489.0,12.0,0.2029424,17,0.3248974,0.0397815,0.46195463,163742.55,G,6,Buenos Aires,6301,General Belgrano,1,kmeans,3,0.369519
233.0,106.0,1.0,0.39593656,11,0.55364807,0.00649351,0.66404528,144171.88,A,6,Buenos Aires,6308,General Guido,2,kmeans,3,0.369519
2360.0,525.0,15.0,0.14148377,19,0.30169492,0.0373263,0.31232005,170620.19,G,6,Buenos Aires,6315,General Juan Madariaga,1,kmeans,3,0.369519
942.0,366.0,3.0,0.34329316,17,0.52229299,0.00676032,0.50583494,137080.47,A,6,Buenos Aires,6322,General La Madrid,1,kmeans,3,0.369519
2274.0,312.0,33.0,0.37969816,16,0.59498681,0.03025413,0.43356047,261770.66,C,6,Buenos Aires,6329,General Las Heras,2,kmeans,3,0.369519
730.0,152.0,7.0,0.34536311,13,0.55890411,0.05182612,0.40196316,163632.55,G,6,Buenos Aires,6336,General Lavalle,2,kmeans,3,0.369519
703.0,266.0,5.0,0.16686665,18,0.27596017,0.06812169,0.43771084,172703.59,G,6,Buenos Aires,6343,General Paz,1,kmeans,3,0.369519
1028.0,317.0,13.0,0.30246483,15,0.45719844,0.09583784,0.54375196,157954.63,A,6,Buenos Aires,6351,General Pinto,2,kmeans,3,0.369519
118660.0,20167.0,800.0,0.11072155,21,0.21441935,0.04065018,0.2292423,197469.29,G,6,Buenos Aires,6357,General Pueyrredón,3,kmeans,3,0.369519
15624.0,1820.0,87.0,0.21344208,18,0.37781618,0.03978139,0.2167572,241455.01,C,6,Buenos Aires,6364,General Rodríguez,1,kmeans,3,0.369519
80264.0,10137.0,798.0,0.25385668,19,0.46531446,0.07484493,0.19511278,252304.79,C,6,Buenos Aires,6371,General San Martín,3,kmeans,3,0.369519
1180.0,408.0,6.0,0.18920569,17,0.32627119,0.02815803,0.43158575,171752.92,A,6,Buenos Aires,6385,General Viamonte,1,kmeans,3,0.369519
3773.0,1161.0,42.0,0.22328843,18,0.38802014,0.02928858,0.36127155,163896.26,A,6,Buenos Aires,6392,General Villegas,1,kmeans,3,0.369519
1066.0,378.0,13.0,0.32678139,17,0.52439024,0.04347246,0.52727832,135766.27,A,6,Buenos Aires,6399,Guaminí,2,kmeans,3,0.369519
919.0,277.0,4.0,0.24180491,16,0.42002176,0.03755328,0.42919252,153763.86,A,6,Buenos Aires,6406,Hipólito Yrigoyen,1,kmeans,3,0.369519
17278.0,2254.0,132.0,0.14967133,19,0.26999653,0.06242076,0.23902645,221308.59,C,6,Buenos Aires,6408,Hurlingham,1,kmeans,3,0.369519
20468.0,2708.0,119.0,0.12690723,19,0.22347078,0.05724238,0.20324395,200035.76,G,6,Buenos Aires,6410,Ituzaingó,1,kmeans,3,0.369519
11444.0,1665.0,37.0,0.16027853,19,0.27813702,0.02885054,0.23068695,193860.51,G,6,Buenos Aires,6412,José C. Paz,1,kmeans,3,0.369519
15266.0,2977.0,119.0,0.15419665,19,0.32058168,0.09148969,0.2360225,194966.4,G,6,Buenos Aires,6413,Junín,1,kmeans,3,0.369519
7815.0,2308.0,40.0,0.13754812,18,0.27933461,0.03320044,0.34865721,204502.89,G,6,Buenos Aires,6420,La Costa,1,kmeans,3,0.369519
127962.0,17093.0,877.0,0.16120213,20,0.30946687,0.08102193,0.17176563,233356.95,C,6,Buenos Aires,6427,La Matanza,3,kmeans,3,0.369519
53271.0,8271.0,409.0,0.18794599,20,0.3557658,0.08007206,0.25318357,238902.63,C,6,Buenos Aires,6434,Lanús,3,kmeans,3,0.369519
89699.0,13288.0,246.0,0.10278418,20,0.20042587,0.03960008,0.17010058,188625.52,G,6,Buenos Aires,6441,La Plata,3,kmeans,3,0.369519
686.0,286.0,4.0,0.31951823,17,0.47667638,0.08912656,0.56555082,145102.08,A,6,Buenos Aires,6448,Laprida,2,kmeans,3,0.369519
2290.0,569.0,13.0,0.16177419,19,0.27729258,0.06617695,0.35780068,216252.3,C,6,Buenos Aires,6455,Las Flores,1,kmeans,3,0.369519
1579.0,527.0,21.0,0.18942774,18,0.34388854,0.01978778,0.46191205,175532.3,A,6,Buenos Aires,6462,Leandro N. Alem,1,kmeans,3,0.369519
716.0,243.0,8.0,0.17979308,17,0.29748603,0.03712158,0.56558506,193206.71,A,6,Buenos Aires,6466,Lezama,1,kmeans,3,0.369519
4911.0,1346.0,37.0,0.16939026,18,0.31704337,0.03310763,0.3285098,178416.71,A,6,Buenos Aires,6469,Lincoln,1,kmeans,3,0.369519
1695.0,619.0,21.0,0.30400606,18,0.48377581,0.08520273,0.48323943,143922.57,A,6,Buenos Aires,6476,Lobería,1,kmeans,3,0.369519
4337.0,1020.0,30.0,0.13386585,18,0.23403274,0.03761441,0.32213714,212136.45,C,6,Buenos Aires,6483,Lobos,1,kmeans,3,0.369519
58891.0,8920.0,336.0,0.1302087,21,0.20167768,0.08758038,0.250674,220987.91,G,6,Buenos Aires,6490,Lomas de Zamora,3,kmeans,3,0.369519
17175.0,2598.0,103.0,0.16897322,19,0.3510917,0.02559031,0.22581451,243475.99,C,6,Buenos Aires,6497,Luján,1,kmeans,3,0.369519
1926.0,387.0,15.0,0.2884402,18,0.50207684,0.04302125,0.42988261,265215.03,C,6,Buenos Aires,6505,Magdalena,1,kmeans,3,0.369519
957.0,276.0,9.0,0.27497437,17,0.46081505,0.04376751,0.43522526,170447.47,G,6,Buenos Aires,6511,Maipú,1,kmeans,3,0.369519
39327.0,3681.0,412.0,0.19339303,19,0.32908689,0.084696,0.18390738,235444.38,C,6,Buenos Aires,6515,Malvinas Argentinas,1,kmeans,3,0.369519
1956.0,595.0,11.0,0.15312854,18,0.26329243,0.01550892,0.31780956,166889.36,A,6,Buenos Aires,6518,Mar Chiquita,1,kmeans,3,0.369519
3904.0,650.0,35.0,0.18365752,18,0.36244877,0.04320113,0.29806831,247510.95,C,6,Buenos Aires,6525,Marcos Paz,1,kmeans,3,0.369519
8903.0,1410.0,61.0,0.19356671,19,0.37504212,0.06745579,0.28596976,240670.91,C,6,Buenos Aires,6532,Mercedes,1,kmeans,3,0.369519
24883.0,3390.0,99.0,0.14835116,19,0.24755857,0.07429443,0.20299699,217461.07,C,6,Buenos Aires,6539,Merlo,1,kmeans,3,0.369519
2718.0,607.0,23.0,0.17605737,19,0.34363503,0.04894766,0.32575661,229204.31,C,6,Buenos Aires,6547,Monte,1,kmeans,3,0.369519
905.0,349.0,1.0,0.17145875,16,0.2519337,0.0078125,0.52595564,180457.72,I,6,Buenos Aires,6553,Monte Hermoso,1,kmeans,3,0.369519
35171.0,4150.0,216.0,0.14149422,19,0.2258679,0.07709952,0.17009459,207730.42,G,6,Buenos Aires,6560,Moreno,1,kmeans,3,0.369519
55064.0,7704.0,349.0,0.12577415,20,0.19653494,0.02739499,0.19120621,214623.97,G,6,Buenos Aires,6568,Morón,3,kmeans,3,0.369519
1762.0,400.0,14.0,0.21013102,17,0.39670829,0.07963115,0.3568856,236669.96,C,6,Buenos Aires,6574,Navarro,1,kmeans,3,0.369519
12459.0,2739.0,57.0,0.12844094,19,0.25451481,0.03385152,0.26284687,189221.23,G,6,Buenos Aires,6581,Necochea,1,kmeans,3,0.369519
5714.0,1377.0,40.0,0.1616736,18,0.27826391,0.03639027,0.32867842,199942.48,G,6,Buenos Aires,6588,9 de Julio,1,kmeans,3,0.369519
18306.0,3107.0,104.0,0.11612164,19,0.20201027,0.04508737,0.23239991,203185.12,G,6,Buenos Aires,6595,Olavarría,1,kmeans,3,0.369519
2182.0,660.0,25.0,0.22500653,19,0.40788268,0.02865136,0.44239845,158345.8,G,6,Buenos Aires,6602,Patagones,1,kmeans,3,0.369519
3709.0,1140.0,37.0,0.17200479,18,0.29576705,0.03110593,0.33878612,177534.37,G,6,Buenos Aires,6609,Pehuajó,1,kmeans,3,0.369519
506.0,202.0,5.0,0.23620897,15,0.42885375,0.03386629,0.59563699,145603.36,A,6,Buenos Aires,6616,Pellegrini,1,kmeans,3,0.369519
18004.0,3121.0,170.0,0.15081615,18,0.26860698,0.03544724,0.21722097,208020.3,C,6,Buenos Aires,6623,Pergamino,1,kmeans,3,0.369519
164.0,51.0,1.0,0.29825997,9,0.4695122,0.11111111,0.54245183,167858.12,A,6,Buenos Aires,6630,Pila,2,kmeans,3,0.369519
69099.0,6787.0,609.0,0.17211213,19,0.35068525,0.08704093,0.16107022,234918.72,C,6,Buenos Aires,6638,Pilar,3,kmeans,3,0.369519
6999.0,1860.0,31.0,0.16444896,18,0.29032719,0.07281024,0.29470303,187366.26,I,6,Buenos Aires,6644,Pinamar,1,kmeans,3,0.369519
3062.0,439.0,3.0,0.21322432,17,0.38928805,0.00645732,0.33956856,176356.15,H,6,Buenos Aires,6648,Presidente Perón,1,kmeans,3,0.369519
1963.0,482.0,12.0,0.15558308,16,0.29801325,0.0924612,0.43105015,196755.6,G,6,Buenos Aires,6651,Puán,1,kmeans,3,0.369519
495.0,194.0,1.0,0.20519131,15,0.36969697,0.01666667,0.45671716,177151.67,A,6,Buenos Aires,6655,Punta Indio,1,kmeans,3,0.369519
70121.0,8734.0,422.0,0.14697257,19,0.2841802,0.07723701,0.17372148,232374.24,C,6,Buenos Aires,6658,Quilmes,3,kmeans,3,0.369519
11849.0,881.0,51.0,0.3489535,19,0.56958393,0.04446398,0.23916519,254060.89,C,6,Buenos Aires,6665,Ramallo,1,kmeans,3,0.369519
1519.0,487.0,5.0,0.205449,16,0.29163924,0.02013808,0.49151574,170424.0,G,6,Buenos Aires,6672,Rauch,1,kmeans,3,0.369519
2101.0,677.0,20.0,0.24076044,17,0.41789624,0.02737919,0.48850791,158581.85,A,6,Buenos Aires,6679,Rivadavia,1,kmeans,3,0.369519
4128.0,755.0,56.0,0.1877595,17,0.32727713,0.04071951,0.32280557,223783.09,C,6,Buenos Aires,6686,Rojas,1,kmeans,3,0.369519
1337.0,412.0,14.0,0.23484911,17,0.34928945,0.08552313,0.48823276,207009.14,C,6,Buenos Aires,6693,Roque Pérez,1,kmeans,3,0.369519
2292.0,685.0,24.0,0.169187,18,0.31108202,0.02806851,0.40429306,199181.12,G,6,Buenos Aires,6700,Saavedra,1,kmeans,3,0.369519
3527.0,896.0,37.0,0.17584008,19,0.26963425,0.07517574,0.39762524,213104.68,C,6,Buenos Aires,6707,Saladillo,1,kmeans,3,0.369519
7978.0,929.0,60.0,0.23332408,19,0.32840311,0.094214,0.29978826,204184.72,C,6,Buenos Aires,6714,Salto,1,kmeans,3,0.369519
832.0,286.0,4.0,0.20584377,17,0.29326923,0.00512052,0.5032051,186802.85,A,6,Buenos Aires,6721,Salliqueló,1,kmeans,3,0.369519
3370.0,667.0,24.0,0.23449269,19,0.40296736,0.0289646,0.42437318,223401.08,C,6,Buenos Aires,6728,San Andrés de Giles,1,kmeans,3,0.369519
3366.0,733.0,26.0,0.13752216,18,0.20499109,0.09623004,0.28175921,199892.4,C,6,Buenos Aires,6735,San Antonio de Areco,1,kmeans,3,0.369519
