provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
Buenos Aires,Saladillo,06707,896.0,3527.0,37.0,4.0
Buenos Aires,Las Flores,06455,569.0,2290.0,13.0,3.0
Buenos Aires,Rojas,06686,755.0,4128.0,56.0,4.0
Buenos Aires,Escobar,06252,3740.0,37585.0,327.0,6.0
Buenos Aires,José C. Paz,06412,1665.0,11444.0,37.0,5.0
Buenos Aires,San Antonio de Areco,06735,733.0,3366.0,26.0,4.0
Buenos Aires,Maipú,06511,276.0,957.0,9.0,1.0
Buenos Aires,Moreno,06560,4150.0,35171.0,216.0,7.0
Buenos Aires,La Matanza,06427,17093.0,127962.0,877.0,7.0
Buenos Aires,Adolfo Gonzales Chaves,06014,372.0,1043.0,5.0,2.0
Buenos Aires,Bahía Blanca,06056,10033.0,64116.0,295.0,7.0
Buenos Aires,General Alvarado,06280,1198.0,3792.0,34.0,5.0
Buenos Aires,General Pueyrredón,06357,20167.0,118660.0,800.0,7.0
Buenos Aires,Mar Chiquita,06518,595.0,1956.0,11.0,3.0
Buenos Aires,Villa Gesell,06868,1696.0,5435.0,10.0,5.0
Buenos Aires,Pinamar,06644,1860.0,6999.0,31.0,5.0
Buenos Aires,General Lavalle,06336,152.0,730.0,7.0,1.0
Buenos Aires,La Costa,06420,2308.0,7815.0,40.0,6.0
Buenos Aires,Magdalena,06505,387.0,1926.0,15.0,2.0
Buenos Aires,Vicente López,06861,11526.0,120347.0,1133.0,7.0
Buenos Aires,General Paz,06343,266.0,703.0,5.0,1.0
Buenos Aires,General Guido,06308,106.0,233.0,1.0,1.0
Buenos Aires,General Juan Madariaga,06315,525.0,2360.0,15.0,3.0
Buenos Aires,Tandil,06791,5182.0,21707.0,97.0,7.0
Buenos Aires,Coronel Suárez,06203,1261.0,4741.0,37.0,5.0
Buenos Aires,Villarino,06875,798.0,2515.0,58.0,4.0
Buenos Aires,Rauch,06672,487.0,1519.0,5.0,2.0
Buenos Aires,Salliqueló,06721,286.0,832.0,4.0,1.0
Buenos Aires,Berazategui,06091,3509.0,28710.0,198.0,6.0
Buenos Aires,Tornquist,06819,502.0,1699.0,12.0,3.0
Buenos Aires,Coronel Pringles,06196,695.0,2245.0,20.0,4.0
Buenos Aires,General Pinto,06351,317.0,1028.0,13.0,2.0
Buenos Aires,San Cayetano,06742,231.0,578.0,3.0,1.0
Buenos Aires,Tres Arroyos,06833,2061.0,8454.0,72.0,6.0
Buenos Aires,Coronel Dorrego,06189,484.0,1620.0,3.0,2.0
Buenos Aires,Necochea,06581,2739.0,12459.0,57.0,6.0
Buenos Aires,Lezama,06466,243.0,716.0,8.0,1.0
Buenos Aires,Punta Indio,06655,194.0,495.0,1.0,1.0
Buenos Aires,Campana,06126,2225.0,23261.0,115.0,6.0
Buenos Aires,Adolfo Alsina,06007,550.0,1761.0,10.0,3.0
Buenos Aires,Pellegrini,06616,202.0,506.0,5.0,1.0
Buenos Aires,Puán,06651,482.0,1963.0,12.0,2.0
Buenos Aires,General Villegas,06392,1161.0,3773.0,42.0,5.0
Buenos Aires,General Las Heras,06329,312.0,2274.0,33.0,2.0
Buenos Aires,Marcos Paz,06525,650.0,3904.0,35.0,3.0
Buenos Aires,Ezeiza,06270,2335.0,28664.0,150.0,6.0
Buenos Aires,Pergamino,06623,3121.0,18004.0,170.0,6.0
Buenos Aires,San Fernando,06749,3313.0,29419.0,192.0,6.0
Buenos Aires,Tigre,06805,8062.0,83661.0,583.0,7.0
Buenos Aires,Castelli,06168,237.0,887.0,1.0,1.0
Buenos Aires,Almirante Brown,06028,5403.0,42327.0,262.0,7.0
Buenos Aires,Presidente Perón,06648,439.0,3062.0,3.0,2.0
Buenos Aires,Tres Lomas,06847,217.0,576.0,2.0,1.0
Buenos Aires,Ayacucho,06042,696.0,1924.0,8.0,4.0
Buenos Aires,Guaminí,06399,378.0,1066.0,13.0,2.0
Buenos Aires,Brandsen,06119,672.0,4690.0,21.0,3.0
Buenos Aires,Ensenada,06245,898.0,14350.0,40.0,4.0
Buenos Aires,Laprida,06448,286.0,686.0,4.0,1.0
Buenos Aires,San Isidro,06756,11335.0,98372.0,942.0,7.0
Buenos Aires,Benito Juárez,06084,628.0,2191.0,16.0,3.0
Buenos Aires,Colón,06175,617.0,3898.0,40.0,3.0
Buenos Aires,Carlos Casares,06147,694.0,2751.0,24.0,3.0
Buenos Aires,Carlos Tejedor,06154,284.0,731.0,2.0,1.0
Buenos Aires,25 de Mayo,06854,912.0,3201.0,14.0,4.0
Buenos Aires,9 de Julio,06588,1377.0,5714.0,40.0,5.0
Buenos Aires,Pehuajó,06609,1140.0,3709.0,37.0,5.0
Buenos Aires,Trenque Lauquen,06826,1715.0,6655.0,62.0,5.0
Buenos Aires,General Belgrano,06301,489.0,1462.0,12.0,2.0
Buenos Aires,Monte,06547,607.0,2718.0,23.0,3.0
Buenos Aires,Roque Pérez,06693,412.0,1337.0,14.0,2.0
Buenos Aires,Olavarría,06595,3107.0,18306.0,104.0,6.0
Buenos Aires,Merlo,06539,3390.0,24883.0,99.0,6.0
Buenos Aires,Esteban Echeverría,06260,3742.0,35457.0,155.0,7.0
Buenos Aires,Arrecifes,06077,761.0,3598.0,32.0,4.0
Buenos Aires,Capitán Sarmiento,06140,416.0,2726.0,19.0,2.0
Buenos Aires,Carmen de Areco,06161,484.0,2092.0,18.0,2.0
Buenos Aires,Salto,06714,929.0,7978.0,60.0,4.0
Buenos Aires,Exaltación de la Cruz,06266,700.0,3676.0,36.0,4.0
Buenos Aires,San Miguel,06760,4259.0,28070.0,105.0,7.0
Buenos Aires,San Andrés de Giles,06728,667.0,3370.0,24.0,3.0
Buenos Aires,Junín,06413,2977.0,15266.0,119.0,6.0
Buenos Aires,Mercedes,06532,1410.0,8903.0,61.0,5.0
Buenos Aires,Pilar,06638,6787.0,69099.0,609.0,7.0
Buenos Aires,Luján,06497,2598.0,17175.0,103.0,6.0
Buenos Aires,Hurlingham,06408,2254.0,17278.0,132.0,6.0
Buenos Aires,Morón,06568,7704.0,55064.0,349.0,7.0
Buenos Aires,Chacabuco,06210,1381.0,6981.0,54.0,5.0
Buenos Aires,Malvinas Argentinas,06515,3681.0,39327.0,412.0,6.0
Buenos Aires,Saavedra,06700,685.0,2292.0,24.0,3.0
Buenos Aires,Monte Hermoso,06553,349.0,905.0,1.0,2.0
Buenos Aires,Lobería,06476,619.0,1695.0,21.0,3.0
Buenos Aires,General San Martín,06371,10137.0,80264.0,798.0,7.0
Buenos Aires,Lincoln,06469,1346.0,4911.0,37.0,5.0
Buenos Aires,Berisso,06098,918.0,8338.0,19.0,4.0
Buenos Aires,Tordillo,06812,44.0,268.0,1.0,1.0
Buenos Aires,Zárate,06882,2342.0,28304.0,120.0,6.0
Buenos Aires,Ramallo,06665,881.0,11849.0,51.0,4.0
Buenos Aires,San Nicolás,06763,3054.0,19385.0,71.0,6.0
Buenos Aires,Ituzaingó,06410,2708.0,20468.0,119.0,6.0
Buenos Aires,General Rodríguez,06364,1820.0,15624.0,87.0,5.0
Buenos Aires,Suipacha,06784,254.0,1068.0,1.0,1.0
Buenos Aires,Tres de Febrero,06840,8040.0,56379.0,499.0,7.0
Buenos Aires,Chivilcoy,06224,1863.0,8419.0,56.0,5.0
Buenos Aires,Alberti,06021,301.0,1531.0,21.0,2.0
Buenos Aires,Bragado,06112,1075.0,5309.0,29.0,4.0
Buenos Aires,Rivadavia,06679,677.0,2101.0,20.0,3.0
Buenos Aires,General Viamonte,06385,408.0,1180.0,6.0,2.0
Buenos Aires,Florencio Varela,06274,2672.0,19995.0,105.0,6.0
Buenos Aires,Navarro,06574,400.0,1762.0,14.0,2.0
Buenos Aires,Cañuelas,06134,1334.0,10047.0,60.0,5.0
Buenos Aires,San Vicente,06778,825.0,4719.0,27.0,4.0
Buenos Aires,Lobos,06483,1020.0,4337.0,30.0,4.0
Buenos Aires,General Alvear,06287,225.0,737.0,5.0,1.0
Buenos Aires,Quilmes,06658,8734.0,70121.0,422.0,7.0
Buenos Aires,General La Madrid,06322,366.0,942.0,3.0,2.0
Buenos Aires,Bolívar,06105,1120.0,3463.0,29.0,5.0
Buenos Aires,Balcarce,06063,1395.0,6902.0,70.0,5.0
Buenos Aires,Tapalqué,06798,281.0,546.0,4.0,1.0
Buenos Aires,Hipólito Yrigoyen,06406,277.0,919.0,4.0,1.0
Buenos Aires,Dolores,06238,615.0,2348.0,5.0,3.0
Buenos Aires,Azul,06049,1970.0,9371.0,39.0,5.0
Buenos Aires,Daireaux,06231,545.0,1972.0,13.0,3.0
Buenos Aires,Leandro N. Alem,06462,527.0,1579.0,21.0,3.0
Buenos Aires,General Arenales,06294,432.0,1606.0,18.0,2.0
Buenos Aires,Patagones,06602,660.0,2182.0,25.0,3.0
Buenos Aires,Coronel de Marina Leonardo Rosales,06182,831.0,3227.0,17.0,4.0
Buenos Aires,Baradero,06070,907.0,4929.0,29.0,4.0
Buenos Aires,San Pedro,06770,1479.0,7925.0,66.0,5.0
Buenos Aires,Florentino Ameghino,06277,276.0,924.0,12.0,1.0
Buenos Aires,Lanús,06434,8271.0,53271.0,409.0,7.0
Buenos Aires,Lomas de Zamora,06490,8920.0,58891.0,336.0,7.0
Buenos Aires,Avellaneda,06035,7741.0,59956.0,533.0,7.0
Buenos Aires,Pila,06630,51.0,164.0,1.0,1.0
Buenos Aires,La Plata,06441,13288.0,89699.0,246.0,7.0
