provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
CABA,Comuna 6,02042,9505.0,41665.0,290.0,3.0
CABA,Comuna 1,02007,54124.0,543181.0,2941.0,7.0
CABA,Comuna 4,02028,10343.0,152463.0,709.0,4.0
CABA,Comuna 5,02035,9027.0,66707.0,321.0,2.0
CABA,Comuna 7,02049,9259.0,46164.0,282.0,3.0
CABA,Comuna 10,02070,7590.0,40393.0,240.0,1.0
CABA,Comuna 11,02077,8657.0,48607.0,375.0,2.0
CABA,Comuna 12,02084,9735.0,63727.0,515.0,4.0
CABA,Comuna 2,02014,15519.0,88651.0,574.0,6.0
CABA,Comuna 8,02056,3096.0,29582.0,228.0,1.0
CABA,Comuna 13,02091,19275.0,111298.0,725.0,6.0
CABA,Comuna 3,02021,14413.0,96510.0,430.0,5.0
CABA,Comuna 14,02098,21489.0,136207.0,935.0,7.0
CABA,Comuna 9,02063,6811.0,48389.0,401.0,1.0
CABA,Comuna 15,02105,13234.0,82853.0,694.0,5.0
