provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
Catamarca,Tinogasta,10105,188.0,928.0,13.0,6.0
Catamarca,Antofagasta de la Sierra,10028,31.0,717.0,6.0,2.0
Catamarca,La Paz,10070,158.0,1716.0,14.0,5.0
Catamarca,Fray Mamerto Esquiú,10063,91.0,344.0,7.0,3.0
Catamarca,Belén,10035,263.0,1057.0,14.0,7.0
Catamarca,Capital,10049,3241.0,22415.0,118.0,7.0
Catamarca,Ancasti,10014,6.0,26.0,0.0,1.0
Catamarca,Pomán,10084,125.0,661.0,10.0,4.0
Catamarca,Capayán,10042,68.0,832.0,1.0,3.0
Catamarca,Andalgalá,10021,242.0,1481.0,13.0,6.0
Catamarca,Ambato,10007,30.0,198.0,0.0,2.0
Catamarca,Paclín,10077,29.0,79.0,2.0,1.0
Catamarca,El Alto,10056,21.0,359.0,3.0,1.0
Catamarca,Valle Viejo,10112,161.0,1675.0,10.0,5.0
Catamarca,Santa María,10091,278.0,1206.0,9.0,7.0
Catamarca,Santa Rosa,10098,115.0,497.0,9.0,4.0
