provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
Chaco,O'Higgins,22112,150.0,496.0,1.0,3.0
Chaco,12 de Octubre,22036,187.0,885.0,12.0,4.0
Chaco,General Güemes,22063,412.0,1897.0,5.0,6.0
Chaco,Quitilipi,22133,278.0,973.0,2.0,5.0
Chaco,Tapenagá,22161,57.0,363.0,1.0,1.0
Chaco,Presidencia de la Plaza,22119,192.0,1121.0,4.0,4.0
Chaco,Sargento Cabral,22154,74.0,251.0,3.0,1.0
Chaco,Independencia,22070,370.0,1625.0,9.0,6.0
Chaco,Mayor Luis J. Fontana,22098,826.0,3419.0,29.0,7.0
Chaco,Fray Justo Santa María de Oro,22043,57.0,129.0,2.0,1.0
Chaco,Maipú,22091,290.0,962.0,4.0,5.0
Chaco,Almirante Brown,22007,360.0,1547.0,12.0,6.0
Chaco,Chacabuco,22028,765.0,3475.0,33.0,7.0
Chaco,2 de Abril,22039,169.0,656.0,10.0,3.0
Chaco,Libertador General San Martín,22084,329.0,1151.0,10.0,5.0
Chaco,Bermejo,22014,137.0,863.0,9.0,3.0
Chaco,25 de Mayo,22168,241.0,675.0,1.0,4.0
Chaco,General Belgrano,22049,110.0,444.0,5.0,2.0
Chaco,General Donovan,22056,17.0,351.0,2.0,1.0
Chaco,1° de Mayo,22126,90.0,210.0,4.0,2.0
Chaco,9 de Julio,22105,312.0,963.0,11.0,5.0
Chaco,San Fernando,22140,6777.0,56027.0,220.0,7.0
Chaco,San Lorenzo,22147,90.0,196.0,1.0,2.0
Chaco,Libertad,22077,144.0,1586.0,12.0,3.0
Chaco,Comandante Fernández,22021,1443.0,7407.0,33.0,7.0
