provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
Chubut,Gaiman,26042,267.0,1454.0,14.0,5.0
Chubut,Paso de Indios,26070,35.0,118.0,2.0,3.0
Chubut,Río Senguer,26084,132.0,484.0,3.0,4.0
Chubut,Biedma,26007,2771.0,22133.0,129.0,6.0
Chubut,Mártires,26063,17.0,55.0,0.0,1.0
Chubut,Telsen,26105,15.0,55.0,2.0,1.0
Chubut,Rawson,26077,3372.0,21389.0,148.0,7.0
Chubut,Florentino Ameghino,26028,27.0,111.0,3.0,2.0
Chubut,Escalante,26021,5422.0,46405.0,255.0,7.0
Chubut,Sarmiento,26091,252.0,1763.0,6.0,4.0
Chubut,Tehuelches,26098,127.0,419.0,8.0,3.0
Chubut,Languiñeo,26056,19.0,30.0,1.0,2.0
Chubut,Gastre,26049,15.0,50.0,0.0,1.0
Chubut,Cushamen,26014,325.0,1148.0,18.0,5.0
Chubut,Futaleufú,26035,1212.0,4603.0,36.0,6.0
