provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
Cordoba,Punilla,14091,4914.0,25584.0,133.0,7.0
Cordoba,Santa María,14147,2450.0,15327.0,110.0,5.0
Cordoba,Minas,14070,63.0,270.0,4.0,1.0
Cordoba,San Alberto,14126,598.0,2277.0,12.0,3.0
Cordoba,Río Segundo,14119,2980.0,14878.0,133.0,5.0
Cordoba,San Justo,14140,6495.0,35745.0,293.0,7.0
Cordoba,Unión,14182,3027.0,14101.0,108.0,5.0
Cordoba,Tercero Arriba,14161,3113.0,15769.0,116.0,6.0
Cordoba,Río Cuarto,14098,7989.0,37545.0,274.0,7.0
Cordoba,Tulumba,14175,174.0,616.0,4.0,1.0
Cordoba,Cruz del Eje,14028,543.0,2714.0,23.0,2.0
Cordoba,Presidente Roque Sáenz Peña,14084,1144.0,4021.0,41.0,3.0
Cordoba,General Roca,14035,1277.0,3591.0,33.0,4.0
Cordoba,Río Seco,14112,179.0,620.0,2.0,2.0
Cordoba,Sobremonte,14154,49.0,154.0,5.0,1.0
Cordoba,Capital,14014,32770.0,265449.0,1307.0,7.0
Cordoba,Juárez Celman,14056,2216.0,13512.0,156.0,4.0
Cordoba,Colón,14021,4434.0,24593.0,180.0,6.0
Cordoba,Ischilín,14049,341.0,1396.0,8.0,2.0
Cordoba,Totoral,14168,519.0,3209.0,44.0,2.0
Cordoba,General San Martín,14042,4519.0,23656.0,154.0,6.0
Cordoba,San Javier,14133,862.0,3811.0,24.0,3.0
Cordoba,Río Primero,14105,1257.0,5822.0,63.0,4.0
Cordoba,Marcos Juárez,14063,3475.0,16316.0,131.0,6.0
Cordoba,Calamuchita,14007,1366.0,6552.0,32.0,4.0
Cordoba,Pocho,14077,17.0,37.0,0.0,1.0
