provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
Corrientes,San Luis del Palmar,18140,96.0,222.0,2.0,2.0
Corrientes,Mburucuyá,18098,53.0,223.0,2.0,1.0
Corrientes,Concepción,18028,163.0,764.0,13.0,3.0
Corrientes,Mercedes,18105,665.0,3540.0,26.0,6.0
Corrientes,San Roque,18161,176.0,817.0,3.0,4.0
Corrientes,General Paz,18063,100.0,341.0,4.0,3.0
Corrientes,Empedrado,18042,92.0,273.0,6.0,2.0
Corrientes,Saladas,18126,216.0,997.0,11.0,4.0
Corrientes,Bella Vista,18007,445.0,2368.0,22.0,5.0
Corrientes,Lavalle,18091,198.0,727.0,8.0,4.0
Corrientes,Goya,18070,1064.0,4822.0,38.0,7.0
Corrientes,Esquina,18049,306.0,1572.0,11.0,5.0
Corrientes,Sauce,18175,125.0,378.0,5.0,3.0
Corrientes,Curuzú Cuatiá,18035,745.0,3139.0,22.0,6.0
Corrientes,Monte Caseros,18112,656.0,3054.0,26.0,6.0
Corrientes,Paso de los Libres,18119,830.0,3439.0,38.0,7.0
Corrientes,San Martín,18147,153.0,725.0,8.0,3.0
Corrientes,General Alvear,18056,83.0,275.0,6.0,2.0
Corrientes,Santo Tomé,18168,1129.0,8823.0,65.0,7.0
Corrientes,San Miguel,18154,66.0,366.0,6.0,1.0
Corrientes,Ituzaingó,18084,567.0,3939.0,34.0,5.0
Corrientes,Berón de Astrada,18014,31.0,100.0,7.0,1.0
Corrientes,Itatí,18077,61.0,246.0,2.0,1.0
Corrientes,San Cosme,18133,246.0,778.0,12.0,5.0
Corrientes,Capital,18021,5718.0,39105.0,133.0,7.0
