provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
Entre Rios,Federación,30028,1561.0,6554.0,53.0,5.0
Entre Rios,Islas del Ibicuy,30063,161.0,1014.0,8.0,1.0
Entre Rios,Uruguay,30098,2137.0,12693.0,85.0,6.0
Entre Rios,Colón,30008,1569.0,9657.0,68.0,6.0
Entre Rios,Gualeguaychú,30056,2713.0,13936.0,117.0,7.0
Entre Rios,Concordia,30015,3128.0,17898.0,144.0,7.0
Entre Rios,Villaguay,30113,890.0,3107.0,35.0,4.0
Entre Rios,Federal,30035,433.0,1241.0,7.0,2.0
Entre Rios,San Salvador,30088,440.0,1506.0,35.0,2.0
Entre Rios,Nogoyá,30077,679.0,3058.0,22.0,3.0
Entre Rios,Tala,30091,422.0,1299.0,14.0,1.0
Entre Rios,La Paz,30070,998.0,4949.0,33.0,4.0
Entre Rios,Feliciano,30042,192.0,608.0,2.0,1.0
Entre Rios,Paraná,30084,8102.0,49033.0,287.0,7.0
Entre Rios,Diamante,30021,963.0,5791.0,38.0,4.0
Entre Rios,Victoria,30105,775.0,3751.0,26.0,3.0
Entre Rios,Gualeguay,30049,1115.0,5672.0,52.0,5.0
