provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
Jujuy,El Carmen,38014,1852.0,9415.0,33.0,7.0
Jujuy,Yavi,38112,190.0,455.0,2.0,5.0
Jujuy,Santa Catalina,38077,14.0,39.0,1.0,1.0
Jujuy,San Pedro,38063,584.0,3349.0,21.0,6.0
Jujuy,Valle Grande,38105,10.0,36.0,3.0,1.0
Jujuy,Susques,38084,63.0,1790.0,12.0,2.0
Jujuy,Tilcara,38094,146.0,389.0,4.0,4.0
Jujuy,Palpalá,38042,465.0,4057.0,21.0,6.0
Jujuy,San Antonio,38056,43.0,159.0,1.0,1.0
Jujuy,Ledesma,38035,617.0,9168.0,18.0,7.0
Jujuy,Humahuaca,38028,104.0,505.0,3.0,4.0
Jujuy,Cochinoca,38007,178.0,3116.0,2.0,5.0
Jujuy,Tumbaya,38098,94.0,462.0,3.0,3.0
Jujuy,Dr. Manuel Belgrano,38021,4177.0,27745.0,95.0,7.0
Jujuy,Rinconada,38049,45.0,1137.0,3.0,2.0
Jujuy,Santa Bárbara,38070,77.0,654.0,0.0,3.0
