provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
La Pampa,Caleu Caleu,42014,46.0,409.0,7.0,2.0
La Pampa,Chical Co,42063,8.0,17.0,0.0,1.0
La Pampa,Chapaleufú,42056,387.0,1726.0,20.0,6.0
La Pampa,Rancul,42126,261.0,674.0,7.0,4.0
La Pampa,Lihuel Calel,42084,12.0,25.0,0.0,1.0
La Pampa,Hucal,42077,213.0,929.0,10.0,3.0
La Pampa,Limay Mahuida,42091,26.0,60.0,1.0,1.0
La Pampa,Guatraché,42070,248.0,690.0,6.0,4.0
La Pampa,Maracó,42105,2088.0,9466.0,85.0,7.0
La Pampa,Realicó,42133,557.0,1833.0,18.0,7.0
La Pampa,Utracán,42154,375.0,1258.0,8.0,6.0
La Pampa,Toay,42140,255.0,881.0,5.0,4.0
La Pampa,Capital,42021,3546.0,15565.0,85.0,7.0
La Pampa,Trenel,42147,138.0,499.0,6.0,2.0
La Pampa,Chalileo,42049,25.0,61.0,1.0,1.0
La Pampa,Puelén,42112,194.0,1500.0,11.0,3.0
La Pampa,Conhelo,42035,389.0,958.0,8.0,6.0
La Pampa,Loventué,42098,179.0,544.0,3.0,3.0
La Pampa,Atreucó,42007,341.0,1253.0,11.0,5.0
La Pampa,Catriló,42028,271.0,1231.0,24.0,5.0
La Pampa,Quemú Quemú,42119,309.0,1041.0,9.0,5.0
La Pampa,Curacó,42042,30.0,167.0,7.0,2.0
