provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
La Rioja,Vinchina,46098,21.0,216.0,3.0,4.0
La Rioja,Chamical,46035,142.0,585.0,4.0,6.0
La Rioja,Independencia,46105,8.0,41.0,1.0,2.0
La Rioja,General Ortiz de Ocampo,46084,20.0,56.0,1.0,3.0
La Rioja,Arauco,46007,211.0,1329.0,21.0,7.0
La Rioja,General Belgrano,46063,54.0,169.0,1.0,5.0
La Rioja,Capital,46014,2909.0,23229.0,146.0,7.0
La Rioja,Castro Barros,46021,39.0,278.0,12.0,5.0
La Rioja,Rosario Vera Peñaloza,46112,91.0,337.0,4.0,6.0
La Rioja,General Felipe Varela,46028,88.0,258.0,4.0,5.0
La Rioja,Sanagasta,46126,10.0,43.0,0.0,2.0
La Rioja,Chilecito,46042,727.0,5721.0,56.0,7.0
La Rioja,Ángel Vicente Peñaloza,46056,1.0,1.0,0.0,1.0
La Rioja,General Juan Facundo Quiroga,46070,1.0,1.0,0.0,1.0
La Rioja,General San Martín,46091,19.0,26.0,0.0,3.0
La Rioja,Famatina,46049,27.0,228.0,0.0,4.0
La Rioja,San Blas de Los Sauces,46119,18.0,84.0,2.0,3.0
La Rioja,General Lamadrid,46077,5.0,11.0,1.0,1.0
