provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
Mendoza,Tupungato,50126,814.0,4709.0,131.0,3.0
Mendoza,Malargüe,50077,584.0,3502.0,41.0,2.0
Mendoza,Luján de Cuyo,50063,3148.0,26148.0,434.0,5.0
Mendoza,Las Heras,50049,1874.0,14106.0,99.0,5.0
Mendoza,Tunuyán,50119,1048.0,7313.0,137.0,4.0
Mendoza,San Carlos,50091,645.0,3291.0,112.0,2.0
Mendoza,San Rafael,50105,3966.0,19232.0,198.0,6.0
Mendoza,General Alvear,50014,908.0,3610.0,43.0,3.0
Mendoza,Santa Rosa,50112,351.0,1933.0,43.0,1.0
Mendoza,Maipú,50070,3266.0,24496.0,374.0,6.0
Mendoza,San Martín,50098,2478.0,10990.0,143.0,5.0
Mendoza,Rivadavia,50084,1198.0,4870.0,82.0,4.0
Mendoza,Junín,50035,652.0,2435.0,44.0,3.0
Mendoza,Guaymallén,50028,5098.0,34524.0,347.0,7.0
Mendoza,Capital,50007,8979.0,56967.0,376.0,7.0
Mendoza,La Paz,50042,70.0,324.0,8.0,1.0
Mendoza,Lavalle,50056,433.0,2230.0,30.0,1.0
Mendoza,Godoy Cruz,50021,4068.0,31522.0,224.0,7.0
