provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
Misiones,Capital,54028,5852.0,45672.0,187.0,7.0
Misiones,San Ignacio,54098,620.0,3799.0,19.0,4.0
Misiones,Candelaria,54021,156.0,1100.0,18.0,1.0
Misiones,Montecarlo,54084,486.0,3776.0,29.0,3.0
Misiones,Cainguás,54014,1135.0,6188.0,45.0,6.0
Misiones,Oberá,54091,1955.0,11213.0,90.0,7.0
Misiones,25 de Mayo,54119,179.0,833.0,1.0,2.0
Misiones,Leandro N. Alem,54070,743.0,5171.0,30.0,5.0
Misiones,San Javier,54105,163.0,712.0,7.0,1.0
Misiones,Concepción,54035,172.0,657.0,2.0,2.0
Misiones,Apóstoles,54007,642.0,4734.0,27.0,5.0
Misiones,Guaraní,54056,638.0,3218.0,21.0,4.0
Misiones,San Pedro,54112,35.0,153.0,0.0,1.0
Misiones,Iguazú,54063,1333.0,10700.0,38.0,7.0
Misiones,General Manuel Belgrano,54049,443.0,2002.0,15.0,3.0
Misiones,Eldorado,54042,1052.0,7226.0,44.0,6.0
Misiones,Libertador General San Martín,54077,611.0,3951.0,32.0,4.0
