provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
Neuquen,Loncopué,58063,101.0,293.0,4.0,3.0
Neuquen,Ñorquín,58084,19.0,133.0,1.0,1.0
Neuquen,Picún Leufú,58098,36.0,109.0,1.0,1.0
Neuquen,Zapala,58112,616.0,2803.0,34.0,6.0
Neuquen,Confluencia,58035,11851.0,97812.0,555.0,7.0
Neuquen,Añelo,58014,421.0,7025.0,37.0,5.0
Neuquen,Pehuenches,58091,584.0,5799.0,54.0,6.0
Neuquen,Catán Lil,58021,19.0,54.0,0.0,1.0
Neuquen,Collón Curá,58028,82.0,565.0,9.0,3.0
Neuquen,Aluminé,58007,145.0,356.0,11.0,4.0
Neuquen,Los Lagos,58070,730.0,2824.0,9.0,7.0
Neuquen,Lácar,58056,1476.0,6464.0,37.0,7.0
Neuquen,Picunches,58105,78.0,221.0,0.0,2.0
Neuquen,Minas,58077,37.0,116.0,3.0,2.0
Neuquen,Chos Malal,58042,282.0,1008.0,5.0,4.0
Neuquen,Huiliches,58049,304.0,1255.0,9.0,5.0
