provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
Rio Negro,Conesa,62028,160.0,433.0,5.0,3.0
Rio Negro,Valcheta,62084,56.0,312.0,1.0,2.0
Rio Negro,San Antonio,62077,769.0,3315.0,31.0,6.0
Rio Negro,9 de Julio,62049,20.0,54.0,2.0,1.0
Rio Negro,Ñorquinco,62056,10.0,28.0,1.0,1.0
Rio Negro,25 de Mayo,62091,186.0,830.0,14.0,4.0
Rio Negro,Pilcaniyeu,62070,124.0,336.0,0.0,3.0
Rio Negro,Avellaneda,62014,759.0,4332.0,44.0,5.0
Rio Negro,General Roca,62042,8825.0,65459.0,545.0,7.0
Rio Negro,El Cuy,62035,53.0,562.0,6.0,2.0
Rio Negro,Pichi Mahuida,62063,362.0,1250.0,12.0,5.0
Rio Negro,Adolfo Alsina,62007,1423.0,7515.0,41.0,6.0
Rio Negro,Bariloche,62021,5229.0,30946.0,148.0,7.0
