provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
Salta,Iruya,66070,3.0,4.0,0.0,1.0
Salta,Orán,66126,1104.0,8657.0,77.0,7.0
Salta,La Candelaria,66084,84.0,166.0,3.0,3.0
Salta,Cafayate,66021,328.0,2210.0,38.0,4.0
Salta,Santa Victoria,66161,4.0,6.0,0.0,1.0
Salta,General José de San Martín,66056,1483.0,9526.0,68.0,7.0
Salta,Rivadavia,66133,86.0,327.0,0.0,3.0
Salta,Capital,66028,9937.0,73795.0,382.0,7.0
Salta,Cerrillos,66035,479.0,2575.0,10.0,5.0
Salta,Chicoana,66042,465.0,2185.0,8.0,5.0
Salta,Rosario de Lerma,66147,615.0,3086.0,19.0,6.0
Salta,La Caldera,66077,47.0,268.0,1.0,2.0
Salta,Cachi,66014,61.0,211.0,3.0,3.0
Salta,La Viña,66098,87.0,214.0,3.0,4.0
Salta,San Carlos,66154,17.0,50.0,0.0,1.0
Salta,Anta,66007,683.0,4640.0,39.0,7.0
Salta,Guachipas,66063,52.0,229.0,0.0,2.0
Salta,Los Andes,66105,151.0,2130.0,18.0,4.0
Salta,La Poma,66091,11.0,31.0,0.0,1.0
Salta,General Güemes,66049,590.0,2952.0,19.0,6.0
Salta,Rosario de la Frontera,66140,407.0,2055.0,34.0,5.0
Salta,Metán,66112,520.0,3987.0,35.0,6.0
Salta,Molinos,66119,47.0,640.0,12.0,2.0
