provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
San Juan,Pocito,70070,606.0,5075.0,57.0,6.0
San Juan,Zonda,70133,11.0,915.0,2.0,1.0
San Juan,Chimbas,70042,616.0,5892.0,53.0,6.0
San Juan,9 de Julio,70063,103.0,878.0,21.0,2.0
San Juan,Albardón,70007,224.0,1978.0,18.0,4.0
San Juan,Angaco,70014,55.0,257.0,5.0,2.0
San Juan,San Martín,70091,101.0,966.0,18.0,2.0
San Juan,Caucete,70035,480.0,2113.0,33.0,5.0
San Juan,Jáchal,70056,238.0,1788.0,22.0,4.0
San Juan,Valle Fértil,70119,52.0,158.0,2.0,1.0
San Juan,Ullum,70112,5.0,13.0,0.0,1.0
San Juan,25 de Mayo,70126,182.0,992.0,19.0,3.0
San Juan,Sarmiento,70105,331.0,2115.0,50.0,5.0
San Juan,Calingasta,70021,163.0,800.0,13.0,3.0
San Juan,Iglesia,70049,196.0,4422.0,21.0,4.0
San Juan,Capital,70028,6157.0,40491.0,199.0,7.0
San Juan,Rivadavia,70084,640.0,5423.0,21.0,6.0
San Juan,Santa Lucía,70098,707.0,3929.0,48.0,7.0
San Juan,Rawson,70077,1062.0,8619.0,60.0,7.0
