provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
Santa Fe,Constitución,82028,1944.0,12861.0,76.0,4.0
Santa Fe,Rosario,82084,34253.0,251188.0,1435.0,7.0
Santa Fe,Iriondo,82056,1997.0,9356.0,103.0,4.0
Santa Fe,Las Colonias,82070,3343.0,17866.0,158.0,6.0
Santa Fe,San Justo,82112,1003.0,4160.0,28.0,2.0
Santa Fe,Garay,82035,340.0,1319.0,9.0,1.0
Santa Fe,Belgrano,82007,1572.0,8299.0,115.0,2.0
Santa Fe,San Jerónimo,82105,1987.0,9241.0,79.0,4.0
Santa Fe,Castellanos,82021,5206.0,36706.0,252.0,6.0
Santa Fe,San Martín,82126,1942.0,8523.0,78.0,3.0
Santa Fe,General Obligado,82049,3310.0,19466.0,123.0,5.0
Santa Fe,General López,82042,6491.0,30479.0,296.0,7.0
Santa Fe,Caseros,82014,2593.0,11988.0,92.0,5.0
Santa Fe,San Lorenzo,82119,4360.0,36761.0,253.0,6.0
Santa Fe,Vera,82133,789.0,3036.0,17.0,2.0
Santa Fe,9 de Julio,82077,600.0,2181.0,32.0,1.0
Santa Fe,San Cristóbal,82091,1749.0,5719.0,32.0,3.0
Santa Fe,La Capital,82063,10163.0,72244.0,349.0,7.0
Santa Fe,San Javier,82098,476.0,1965.0,13.0,1.0
