provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
Santiago Del Estero,Alberdi,86014,124.0,544.0,8.0,5.0
Santiago Del Estero,Juan Felipe Ibarra,86098,50.0,130.0,2.0,3.0
Santiago Del Estero,General Taboada,86077,291.0,992.0,3.0,6.0
Santiago Del Estero,Rivadavia,86154,126.0,452.0,2.0,5.0
Santiago Del Estero,Ojo de Agua,86126,91.0,285.0,5.0,4.0
Santiago Del Estero,Choya,86063,350.0,1551.0,7.0,6.0
Santiago Del Estero,San Martín,86175,17.0,117.0,1.0,1.0
Santiago Del Estero,Quebrachos,86140,69.0,178.0,3.0,4.0
Santiago Del Estero,Copo,86056,182.0,730.0,3.0,5.0
Santiago Del Estero,Río Hondo,86147,525.0,2366.0,1.0,7.0
Santiago Del Estero,Banda,86035,1296.0,9440.0,32.0,7.0
Santiago Del Estero,Sarmiento,86182,32.0,244.0,2.0,2.0
Santiago Del Estero,Belgrano,86042,340.0,1058.0,23.0,6.0
Santiago Del Estero,Aguirre,86007,64.0,179.0,3.0,3.0
Santiago Del Estero,Guasayán,86084,19.0,116.0,2.0,1.0
Santiago Del Estero,Robles,86161,298.0,1295.0,14.0,6.0
Santiago Del Estero,Moreno,86119,409.0,1838.0,21.0,7.0
Santiago Del Estero,Capital,86049,4757.0,32676.0,120.0,7.0
Santiago Del Estero,Silípica,86189,32.0,252.0,1.0,2.0
Santiago Del Estero,Loreto,86105,101.0,413.0,3.0,5.0
Santiago Del Estero,Figueroa,86070,35.0,92.0,0.0,2.0
Santiago Del Estero,Salavina,86168,30.0,101.0,0.0,2.0
Santiago Del Estero,Pellegrini,86133,96.0,314.0,3.0,4.0
Santiago Del Estero,Avellaneda,86028,67.0,324.0,3.0,3.0
Santiago Del Estero,Mitre,86112,6.0,10.0,0.0,1.0
Santiago Del Estero,Atamisqui,86021,8.0,58.0,0.0,1.0
Santiago Del Estero,Jiménez,86091,64.0,189.0,4.0,3.0
