provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
Tucuman,Tafí Viejo,90105,947.0,9299.0,68.0,6.0
Tucuman,Yerba Buena,90119,1852.0,14454.0,101.0,7.0
Tucuman,Lules,90063,454.0,6598.0,59.0,5.0
Tucuman,Capital,90084,11622.0,102602.0,305.0,7.0
Tucuman,Famaillá,90028,344.0,4191.0,28.0,4.0
Tucuman,Tafí del Valle,90098,171.0,629.0,1.0,2.0
Tucuman,Trancas,90112,162.0,828.0,5.0,1.0
Tucuman,Burruyacú,90007,200.0,965.0,11.0,3.0
Tucuman,Cruz Alta,90014,1328.0,17802.0,81.0,7.0
Tucuman,Leales,90056,216.0,2867.0,15.0,3.0
Tucuman,Monteros,90070,569.0,5445.0,36.0,5.0
Tucuman,Chicligasta,90021,923.0,6563.0,19.0,6.0
Tucuman,Simoca,90091,167.0,1009.0,3.0,2.0
Tucuman,Río Chico,90077,346.0,2727.0,6.0,4.0
Tucuman,Graneros,90035,49.0,247.0,1.0,1.0
Tucuman,La Cocha,90049,127.0,784.0,14.0,1.0
Tucuman,Juan Bautista Alberdi,90042,325.0,1853.0,12.0,4.0
