departamento,sindesc_asalariados,tasa,rank
Presidente Perón,8030.0,36.982453,1
Moreno,46686.0,36.419662,2
General Rodríguez,11260.0,35.556398,3
Marcos Paz,5303.0,34.632968,4
San Vicente,7517.0,34.516485,5
Merlo,42474.0,32.814673,6
Florencio Varela,34512.0,32.256316,7
La Matanza,132394.0,32.229826,8
Josť C. Paz,22870.0,31.626839,9
Ca˝uelas,5040.0,28.977175,10
Esteban Echeverrķa,22612.0,28.532132,11
Ezeiza,13833.0,27.82572,12
Pilar,25407.0,26.897099,13
General Las Heras,1350.0,26.690391,14
Exaltación de la Cruz,2710.0,26.553008,15
Almirante Brown,36259.0,26.266834,16
Malvinas Argentinas,21642.0,25.447704,17
Lomas de Zamora,41027.0,24.839257,18
Berisso,6736.0,24.482082,19
Ensenada,4165.0,24.236253,20
Berazategui,20781.0,24.091399,21
Escobar,15007.0,23.907918,22
Quilmes,35800.0,23.758959,23
Brandsen,1924.0,23.758953,24
LujŠn,6839.0,23.545411,25
San Miguel,19330.0,23.477258,26
Hurlingham,10431.0,21.885359,27
Tigre,22981.0,21.22074,28
La Plata,46352.0,20.865839,29
General San Martín,24497.0,20.524486,30
San Fernando,9325.0,20.119965,31
Ituzaingˇ,8678.0,19.191048,32
Lanús,21921.0,18.055796,33
Tres de Febrero,17757.0,17.864365,34
Avellaneda,17203.0,16.891023,35
Campana,4665.0,16.592566,36
Zárate,5330.0,16.562053,37
Morón,14285.0,15.87575,38
San Isidro,10507.0,13.760182,39
CABA,103942.0,10.867853666340102,40
Vicente López,7824.0,9.696609,41
