departamento,sindesc_cp,tasa,rank
Florencio Varela,47001.0,81.357428,1
Josť C. Paz,29753.0,81.301235,2
Presidente Perón,10364.0,80.609785,3
Merlo,60439.0,80.193987,4
Moreno,57043.0,78.683256,5
La Matanza,194825.0,76.18476,6
Marcos Paz,5950.0,75.431034,7
General Rodríguez,13057.0,74.46675,8
Malvinas Argentinas,30284.0,74.387758,9
San Vicente,9311.0,73.738814,10
Ezeiza,17313.0,73.659803,11
Almirante Brown,54470.0,73.412672,12
Ensenada,5009.0,72.051208,13
Esteban Echeverrķa,31926.0,72.041701,14
Zárate,9467.0,68.830886,15
Berisso,7100.0,68.539434,16
Berazategui,30893.0,68.483706,17
Lomas de Zamora,63366.0,67.432877,18
Quilmes,54349.0,67.350302,19
San Miguel,28367.0,67.29054,20
Ca˝uelas,6016.0,66.918799,21
Hurlingham,16453.0,66.738328,22
Campana,7598.0,63.875578,23
Pilar,31521.0,62.117689,24
Escobar,19522.0,59.494712,25
General San Martín,34693.0,59.263751,26
Avellaneda,26299.0,58.926731,27
Brandsen,2453.0,58.390859,28
Lanús,35188.0,57.959843,29
LujŠn,8626.0,57.85767,30
San Fernando,11885.0,57.035224,31
General Las Heras,1250.0,57.025547,32
Ituzaingˇ,15139.0,56.915674,33
Exaltación de la Cruz,3108.0,56.891818,34
Tigre,33838.0,56.054733,35
La Plata,52831.0,55.591098,36
Tres de Febrero,28091.0,54.99305,37
Morón,24934.0,52.215614,38
San Isidro,18647.0,40.887164,39
CABA,180982.0,37.57908484789339,40
Vicente López,15691.0,35.324974,41
