departamento,sindesc_patrones,tasa,rank
Moreno,5840.0,46.619302,1
Presidente Perón,986.0,45.563771,2
La Matanza,16296.0,45.513196,3
Marcos Paz,626.0,45.428157,4
Florencio Varela,4287.0,45.403516,5
Merlo,4867.0,45.119125,6
San Vicente,1029.0,44.642082,7
Josť C. Paz,2824.0,43.147441,8
General Rodríguez,1310.0,40.695868,9
Ensenada,458.0,39.619377,10
Almirante Brown,4378.0,39.317467,11
Berisso,719.0,39.311099,12
Malvinas Argentinas,2785.0,38.552049,13
Ezeiza,1707.0,38.247815,14
Esteban Echeverrķa,2766.0,37.807545,15
Lomas de Zamora,5233.0,37.071408,16
Ca˝uelas,619.0,36.326291,17
Exaltación de la Cruz,392.0,36.296296,18
Quilmes,4558.0,35.785507,19
Pilar,3679.0,35.004757,20
Berazategui,2598.0,34.112395,21
General San Martín,3247.0,33.595447,22
La Plata,5288.0,33.438725,23
Escobar,2214.0,33.398703,24
Hurlingham,1228.0,33.396791,25
San Miguel,2454.0,33.175612,26
Campana,706.0,32.867784,27
Avellaneda,2370.0,32.743852,28
Brandsen,240.0,32.608696,29
Zárate,829.0,32.131783,30
LujŠn,910.0,31.941032,31
Lanús,3094.0,31.299949,32
San Fernando,1182.0,30.558428,33
Tres de Febrero,2262.0,30.071789,34
Tigre,3585.0,28.130885,35
General Las Heras,129.0,27.982646,36
Ituzaingˇ,1136.0,27.646629,37
Morón,1961.0,26.568216,38
San Isidro,1802.0,21.009677,39
CABA,16620.0,20.77577909171594,40
Vicente López,1335.0,17.864312,41
