departamento,sindesc_sd,tasa,rank
General Las Heras,542.0,76.123596,1
Marcos Paz,1773.0,75.19084,2
San Vicente,2353.0,75.151709,3
Brandsen,832.0,72.347826,4
Ensenada,1395.0,72.242361,5
Ca˝uelas,1771.0,72.197309,6
Zárate,2872.0,71.585244,7
LujŠn,2573.0,71.116639,8
General Rodríguez,3816.0,71.061453,9
Campana,2159.0,70.763684,10
Merlo,15571.0,69.884655,11
Berisso,2387.0,69.308943,12
La Matanza,45243.0,69.11549,13
Presidente Perón,2837.0,69.06037,14
Exaltación de la Cruz,1239.0,68.604651,15
Ezeiza,5230.0,68.572178,16
Morón,5336.0,68.489283,17
Ituzaingˇ,3168.0,68.187688,18
Esteban Echeverrķa,8226.0,67.66472,19
Berazategui,8251.0,67.371601,20
Almirante Brown,13835.0,67.121095,21
Florencio Varela,12640.0,67.030811,22
Hurlingham,4034.0,66.97659,23
Quilmes,13729.0,66.516473,24
Moreno,16897.0,66.296543,25
Lanús,8346.0,66.138363,26
Avellaneda,6661.0,65.924386,27
Lomas de Zamora,13757.0,65.584477,28
Tres de Febrero,6350.0,65.342663,29
La Plata,14042.0,64.445362,30
San Miguel,7456.0,64.065991,31
General San Martín,9690.0,63.403782,32
Josť C. Paz,8779.0,63.340548,33
Escobar,6015.0,59.372224,34
Malvinas Argentinas,8637.0,59.25494,35
Pilar,9770.0,59.21571,36
Tigre,9816.0,55.985855,37
San Isidro,3744.0,54.323854,38
Vicente López,2611.0,53.868372,39
San Fernando,3779.0,53.8626,40
CABA,36043.0,53.51755063253548,41
