departamento,sindesc_asalariados,tasa,rank
Villarino,3541.0,43.272638,1
Lobos,3857.0,37.754503,2
Leandro N. Alem,1515.0,37.278543,3
Navarro,1835.0,36.862194,4
Arrecifes,2731.0,35.307046,5
La Costa,6808.0,34.884198,6
Tres Lomas,819.0,34.615385,7
Daireaux,1500.0,33.632287,8
Pinamar,3139.0,33.489811,9
Suipacha,951.0,32.646756,10
Carmen de Areco,1534.0,32.534464,11
25 de Mayo,2659.0,32.195181,12
Villa Gesell,2691.0,32.10834,13
Monte,1935.0,32.009926,14
General Juan Madariaga,1702.0,31.93845,15
Roque Pérez,1191.0,31.930295,16
General Alvarado,3279.0,31.927945,17
Chivilcoy,5560.0,31.842392,18
Chacabuco,4081.0,31.594023,19
Rivadavia,1557.0,31.588558,20
Carlos Tejedor,1048.0,31.49985,21
General Belgrano,1545.0,31.199515,22
General Paz,1077.0,31.181239,23
San Andrés de Giles,2336.0,30.874967,24
General Viamonte,1504.0,30.775527,25
Saladillo,2788.0,30.657576,26
Lincoln,3157.0,30.420119,27
General Pinto,937.0,30.323625,28
Loberķa,1317.0,30.261949,29
9 de Julio,3641.0,30.218275,30
General Villegas,2410.0,30.102423,31
San Pedro,4808.0,30.033106,32
Las Flores,2014.0,29.753287,33
Rauch,1195.0,29.296396,34
Carlos Casares,1707.0,29.214445,35
Castelli,848.0,29.150911,36
Colón,1962.0,28.933786,37
Bolívar,2535.0,28.734981,38
Pellegrini,503.0,28.726442,39
Capitán Sarmiento,1298.0,28.716814,40
Ayacucho,1531.0,28.436107,41
Laprida,805.0,27.922303,42
Coronel Pringles,1497.0,27.835627,43
Bragado,2954.0,27.530289,44
Maipú,822.0,27.491639,45
San Cayetano,585.0,27.477689,46
Pehuajó,2766.0,27.152253,47
Necochea,6036.0,27.00792,48
Pergamino,7301.0,26.907201,49
Salliqueló,649.0,26.729819,50
Adolfo Gonzales Chaves,815.0,26.392487,51
General Arenales,989.0,26.380368,52
Mar Chiquita,1984.0,25.806452,53
Trenque Lauquen,3345.0,25.746613,54
Balcarce,2949.0,25.43557,55
Florentino Ameghino,643.0,25.314961,56
Adolfo Alsina,1069.0,25.271868,57
San Antonio de Areco,1837.0,25.160937,58
Coronel Dorrego,899.0,24.930671,59
General Alvear,748.0,24.817518,60
Chascomús,2585.0,24.762908,61
Salto,2467.0,24.759133,62
Hipólito Yrigoyen,642.0,24.730354,63
General Lavalle,306.0,24.018838,64
Mercedes,4584.0,23.893667,65
Punta Indio,750.0,23.666772,66
Tapalqué,661.0,23.657838,67
Tornquist,897.0,23.537129,68
Patagones,2252.0,23.446122,69
Pila,328.0,23.312011,70
Tres Arroyos,3199.0,23.149287,71
Benito Juárez,1173.0,22.88334,72
Coronel Suárez,2283.0,22.791255,73
Ramallo,2251.0,22.589062,74
Guaminí,698.0,22.508868,75
General La Madrid,674.0,22.414366,76
General Pueyrredón,36756.0,22.285548,77
Rojas,1463.0,22.247567,78
Baradero,2207.0,22.167537,79
Monte Hermoso,471.0,22.15428,80
Dolores,1726.0,21.502429,81
Azul,3743.0,21.41917,82
Junín,5311.0,21.372233,83
Lezama,370.0,21.252154,84
Alberti,650.0,20.974508,85
Magdalena,1313.0,20.84127,86
Tandil,7349.0,20.770448,87
Saavedra,1094.0,19.833212,88
Olavarrķa,5807.0,19.69476,89
San Nicolás,7528.0,19.295143,90
Puan,796.0,19.093308,91
General Guido,167.0,18.555556,92
Tordillo,144.0,16.666667,93
Bahía Blanca,14280.0,16.556906,94
Coronel de Marina Leonardo Rosales,2444.0,14.513064,95
