departamento,sindesc_cp,tasa,rank
General Lavalle,373.0,65.90106,1
Tordillo,174.0,65.413534,2
Coronel de Marina Leonardo Rosales,3709.0,64.853995,3
La Costa,9033.0,63.474106,4
San Nicolás,12023.0,62.012585,5
General Alvarado,3738.0,61.71372,6
San Pedro,5146.0,61.269199,7
Carmen de Areco,1247.0,61.217477,8
Patagones,3131.0,61.104606,9
General Viamonte,1646.0,61.053412,10
Magdalena,1419.0,60.6929,11
Villarino,2821.0,60.368072,12
Tapalqué,702.0,60.051326,13
General Paz,1147.0,59.36853,14
Ramallo,2668.0,59.065752,15
Monte Hermoso,720.0,59.016393,16
Mar Chiquita,2853.0,58.934105,17
Arrecifes,2510.0,58.878724,18
Baradero,2672.0,58.751099,19
Olavarrķa,9016.0,58.64065,20
Benito Juárez,1528.0,58.432122,21
Colón,2170.0,58.317657,22
Chacabuco,4169.0,58.315848,23
Dolores,2066.0,57.952314,24
Punta Indio,883.0,57.637076,25
Azul,5433.0,57.552966,26
Loberķa,1338.0,57.033248,27
Villa Gesell,3058.0,57.020324,28
Navarro,1398.0,56.898657,29
Las Flores,2085.0,56.889495,30
Monte,1863.0,56.764168,31
Salto,2620.0,56.392596,32
Pergamino,9352.0,56.378105,33
General Juan Madariaga,1663.0,56.220419,34
Alberti,969.0,56.076389,35
Chivilcoy,5623.0,56.061815,36
Mercedes,4786.0,56.048718,37
Necochea,8169.0,55.963554,38
25 de Mayo,2769.0,55.658291,39
General Alvear,551.0,55.656566,40
General Pinto,928.0,55.602157,41
Roque Pérez,987.0,55.078125,42
Lobos,3136.0,54.940434,43
Bahía Blanca,23789.0,54.862665,44
Bragado,3559.0,54.787562,45
Carlos Casares,1832.0,54.702896,46
San Andrés de Giles,1681.0,54.260813,47
Daireaux,1156.0,53.993461,48
General La Madrid,768.0,53.970485,49
Capitán Sarmiento,1026.0,53.83001,50
General Villegas,2435.0,53.669826,51
9 de Julio,3985.0,53.561828,52
Pehuajó,3566.0,53.423221,53
Chascomús,3224.0,53.22767,54
Suipacha,798.0,53.2,55
General Pueyrredón,51084.0,53.114018,56
Bolívar,2703.0,53.031195,57
Pila,252.0,52.830189,58
General Belgrano,1494.0,52.754237,59
Leandro N. Alem,1184.0,52.459016,60
Lincoln,3348.0,51.987578,61
Castelli,584.0,51.818988,62
Adolfo Gonzales Chaves,870.0,51.785714,63
Coronel Pringles,1607.0,51.113232,64
Rojas,1674.0,51.098901,65
General Guido,154.0,50.825083,66
Junín,7224.0,50.712531,67
Laprida,703.0,50.430416,68
Tres Lomas,585.0,50.344234,69
Saladillo,2398.0,49.885584,70
Maipú,691.0,49.783862,71
Carlos Tejedor,864.0,49.399657,72
Coronel Dorrego,1076.0,49.154865,73
Hipólito Yrigoyen,697.0,48.87798,74
Adolfo Alsina,1269.0,48.751441,75
Tornquist,1092.0,48.75,76
Pellegrini,471.0,48.606811,77
General Arenales,1087.0,48.570152,78
Lezama,381.0,48.41169,79
Guaminí,748.0,48.289219,80
Tres Arroyos,4811.0,48.201583,81
Saavedra,1499.0,48.014094,82
Ayacucho,1280.0,47.743379,83
Rauch,1085.0,47.713281,84
Florentino Ameghino,595.0,47.6,85
San Antonio de Areco,1777.0,47.449933,86
Pinamar,2677.0,46.882662,87
Rivadavia,1222.0,46.375712,88
Trenque Lauquen,3162.0,46.153846,89
Tandil,10538.0,45.995373,90
Coronel Suárez,2667.0,45.535257,91
Balcarce,2871.0,45.470383,92
Salliqueló,563.0,45.148356,93
San Cayetano,518.0,43.786982,94
Puan,1009.0,41.98918,95
