departamento,sindesc_sd,tasa,rank
La Costa,1984.0,82.632237,1
General Lavalle,104.0,82.539683,2
Monte Hermoso,181.0,80.444444,3
Tordillo,46.0,79.310345,4
Villa Gesell,823.0,78.755981,5
General Paz,445.0,78.34507,6
Ramallo,1170.0,77.534791,7
Coronel de Marina Leonardo Rosales,1621.0,77.007126,8
Chivilcoy,1999.0,76.766513,9
Mar Chiquita,754.0,76.084763,10
Villarino,801.0,75.924171,11
Monte,748.0,75.631951,12
Chacabuco,1477.0,75.511247,13
General Alvarado,1256.0,75.164572,14
Magdalena,625.0,75.120192,15
Punta Indio,335.0,74.944072,16
Lobos,1244.0,74.714715,17
Las Flores,778.0,74.307545,18
Suipacha,381.0,73.980583,19
General Belgrano,631.0,73.974209,20
25 de Mayo,1170.0,73.724008,21
Arrecifes,952.0,73.343606,22
Roque Pérez,474.0,73.148148,23
Salto,1092.0,73.043478,24
General Arenales,482.0,73.030303,25
Saladillo,1056.0,72.928177,26
San Andrés de Giles,855.0,72.890026,27
Castelli,258.0,72.881356,28
Pinamar,961.0,72.41899,29
Baradero,988.0,72.380952,30
Capitán Sarmiento,485.0,72.172619,31
Tornquist,354.0,72.09776,32
General Juan Madariaga,789.0,71.857923,33
San Pedro,1735.0,71.575908,34
Necochea,2654.0,71.497845,35
Lezama,180.0,71.428571,36
Carlos Tejedor,377.0,71.401515,37
Guaminí,366.0,71.345029,38
Navarro,630.0,71.266968,39
General Alvear,326.0,71.179039,40
Tres Lomas,321.0,71.175166,41
Daireaux,579.0,70.955882,42
Colón,762.0,70.949721,43
Olavarrķa,3153.0,70.917679,44
Chascomús,1259.0,70.492721,45
General Viamonte,558.0,70.3657,46
Leandro N. Alem,610.0,70.357555,47
Bragado,1232.0,70.19943,48
Carmen de Areco,487.0,70.071942,49
Laprida,420.0,69.767442,50
Lincoln,1470.0,69.635244,51
Pergamino,2818.0,69.580247,52
Bolívar,1131.0,69.429098,53
General Pueyrredón,12209.0,69.255204,54
Pellegrini,214.0,69.032258,55
Junín,2422.0,68.845935,56
9 de Julio,1671.0,68.511685,57
Hipólito Yrigoyen,300.0,68.493151,58
Maipú,354.0,68.339768,59
San Cayetano,291.0,68.309859,60
Puan,427.0,68.210863,61
Benito Juárez,581.0,68.112544,62
Carlos Casares,766.0,67.968057,63
Pehuajó,1296.0,67.924528,64
Adolfo Gonzales Chaves,391.0,67.881944,65
San Nicolás,3905.0,67.502161,66
Saavedra,583.0,67.243368,67
Mercedes,1763.0,67.213115,68
Coronel Suárez,1225.0,67.196928,69
General Guido,101.0,66.887417,70
Pila,135.0,66.831683,71
Rauch,557.0,66.547192,72
Coronel Dorrego,429.0,66.408669,73
Loberķa,589.0,66.328829,74
Florentino Ameghino,320.0,66.252588,75
General Pinto,408.0,66.233766,76
Tapalqué,316.0,66.108787,77
General Villegas,1124.0,65.807963,78
Salliqueló,319.0,65.773196,79
Patagones,1016.0,65.590704,80
Dolores,859.0,65.572519,81
San Antonio de Areco,771.0,65.505523,82
General La Madrid,349.0,65.478424,83
Tres Arroyos,1614.0,64.793256,84
Alberti,349.0,64.62963,85
Adolfo Alsina,543.0,64.565993,86
Rivadavia,567.0,64.212911,87
Trenque Lauquen,1400.0,63.956144,88
Bahía Blanca,6958.0,63.306342,89
Rojas,593.0,61.964472,90
Tandil,3277.0,61.900264,91
Ayacucho,629.0,61.787819,92
Balcarce,1216.0,60.860861,93
Azul,1941.0,59.851989,94
Coronel Pringles,653.0,58.096085,95
