anio,clae2,empleo_mujeres,empleo_varones,empleo_otro,salario_promedio_anual_deflactado,meses_completos,ratio_fem,brecha_genero_abs,provincia_id,provincia,in_departamentos,departamento
2022,1,1747.0,6776.0,0.0,0.0,0,0.20497477,5029.0,2,CABA,2007,Comuna 1
2022,2,37.0,187.0,0.0,0.0,0,0.16517857,150.0,2,CABA,2007,Comuna 1
2022,3,102.0,659.0,0.0,0.0,0,0.13403417,557.0,2,CABA,2007,Comuna 1
2022,5,9.0,18.0,0.0,0.0,0,0.33333333,9.0,2,CABA,2007,Comuna 1
2022,6,2551.0,4332.0,0.0,0.0,0,0.37062327,1781.0,2,CABA,2007,Comuna 1
2022,7,47.0,98.0,0.0,0.0,0,0.32413793,51.0,2,CABA,2007,Comuna 1
2022,8,129.0,589.0,0.0,0.0,0,0.17966574,460.0,2,CABA,2007,Comuna 1
2022,9,430.0,3111.0,0.0,0.0,0,0.12143462,2681.0,2,CABA,2007,Comuna 1
2022,10,1900.0,4985.0,0.0,0.0,0,0.27596224,3085.0,2,CABA,2007,Comuna 1
2022,11,236.0,489.0,0.0,0.0,0,0.32551724,253.0,2,CABA,2007,Comuna 1
2022,12,8.0,16.0,0.0,0.0,0,0.33333333,8.0,2,CABA,2007,Comuna 1
2022,13,393.0,768.0,0.0,0.0,0,0.33850129,375.0,2,CABA,2007,Comuna 1
2022,14,471.0,294.0,0.0,0.0,0,0.61568627,177.0,2,CABA,2007,Comuna 1
2022,15,81.0,186.0,0.0,0.0,0,0.30337079,105.0,2,CABA,2007,Comuna 1
2022,16,58.0,247.0,0.0,2318306.0,98,0.19016393,189.0,2,CABA,2007,Comuna 1
2022,17,369.0,833.0,0.0,0.0,0,0.30698835,464.0,2,CABA,2007,Comuna 1
2022,18,584.0,1167.0,0.0,0.0,0,0.3335237,583.0,2,CABA,2007,Comuna 1
2022,19,172.0,371.0,0.0,0.0,0,0.31675875,199.0,2,CABA,2007,Comuna 1
2022,20,1111.0,2490.0,0.0,0.0,0,0.30852541,1379.0,2,CABA,2007,Comuna 1
2022,21,830.0,1282.0,0.0,0.0,0,0.39299242,452.0,2,CABA,2007,Comuna 1
2022,22,110.0,416.0,0.0,0.0,0,0.20912548,306.0,2,CABA,2007,Comuna 1
2022,23,155.0,588.0,0.0,0.0,0,0.20861373,433.0,2,CABA,2007,Comuna 1
2022,24,284.0,1012.0,0.0,0.0,0,0.2191358,728.0,2,CABA,2007,Comuna 1
2022,25,150.0,635.0,0.0,0.0,0,0.1910828,485.0,2,CABA,2007,Comuna 1
2022,26,285.0,670.0,0.0,0.0,0,0.29842932,385.0,2,CABA,2007,Comuna 1
2022,27,272.0,832.0,0.0,0.0,0,0.24637681,560.0,2,CABA,2007,Comuna 1
2022,28,151.0,665.0,0.0,0.0,0,0.18504902,514.0,2,CABA,2007,Comuna 1
2022,29,186.0,787.0,0.0,0.0,0,0.19116136,601.0,2,CABA,2007,Comuna 1
2022,30,77.0,378.0,0.0,0.0,0,0.16923077,301.0,2,CABA,2007,Comuna 1
2022,31,87.0,135.0,0.0,0.0,0,0.39189189,48.0,2,CABA,2007,Comuna 1
2022,32,115.0,316.0,0.0,0.0,0,0.26682135,201.0,2,CABA,2007,Comuna 1
2022,33,59.0,311.0,0.0,0.0,0,0.15945946,252.0,2,CABA,2007,Comuna 1
2022,35,842.0,2731.0,0.0,0.0,0,0.23565631,1889.0,2,CABA,2007,Comuna 1
2022,36,757.0,2388.0,0.0,0.0,0,0.24069952,1631.0,2,CABA,2007,Comuna 1
2022,37,1.0,22.0,0.0,0.0,0,0.04347826,21.0,2,CABA,2007,Comuna 1
2022,38,73.0,873.0,0.0,0.0,0,0.07716702,800.0,2,CABA,2007,Comuna 1
2022,39,10.0,118.0,0.0,0.0,0,0.078125,108.0,2,CABA,2007,Comuna 1
2022,41,1272.0,9588.0,0.0,0.0,0,0.11712707,8316.0,2,CABA,2007,Comuna 1
2022,42,1380.0,8446.0,0.0,0.0,0,0.14044372,7066.0,2,CABA,2007,Comuna 1
2022,43,353.0,3369.0,0.0,0.0,0,0.09484148,3016.0,2,CABA,2007,Comuna 1
2022,45,623.0,1535.0,0.0,0.0,0,0.28869323,912.0,2,CABA,2007,Comuna 1
2022,46,7313.0,13366.0,0.0,0.0,0,0.35364379,6053.0,2,CABA,2007,Comuna 1
2022,47,7364.0,8439.0,0.0,0.0,0,0.46598747,1075.0,2,CABA,2007,Comuna 1
2022,49,2266.0,14093.0,0.0,0.0,0,0.13851702,11827.0,2,CABA,2007,Comuna 1
