REDCODE,Departamento,total_sd,sindesc_sd,varones_sd,mujeres_sd,tasa_sd,pct_varones_sd,pct_mujeres_sd,total_asalariados,sindesc_asalariados,varones_asalariados,mujeres_asalariadas,tasa_asalariados,pct_varones_asalariados,pct_mujeres_asalariadas,total_cp,sindesc_cp,varones_cp,mujeres_cp,tasa_cp,pct_varones_cp,pct_mujeres_cp,total_patrones,sindesc_patrones,varones_patrones,mujeres_patrones,tasa_patrones,pct_varones_patrones,pct_mujeres_patrones,brecha_pp_sd,brecha_ratio_sd,brecha_pp_asalariados,brecha_ratio_asalariados,brecha_pp_cp,brecha_ratio_cp,brecha_pp_patrones,brecha_ratio_patrones,codigo_departamento,departamento
2007,,7686,4264,210,4054,55.477492,4.924953,95.075047,67150,10916,6394,4522,16.256143,58.574569,41.425431,34153,16500,9163,7337,48.312008,55.533333,44.466667,6348,1703,981,722,26.827347,57.604228,42.395772,-90.150094,0.051801,17.149139,1.413976,11.066667,1.248876,15.208456,1.358726,02007,Comuna 1
2014,,3037,1177,77,1100,38.755351,6.542056,93.457944,49746,4095,1781,2314,8.231818,43.492063,56.507937,26548,8146,3912,4234,30.684044,48.02357,51.97643,4703,797,428,369,16.94663,53.70138,46.29862,-86.915888,0.07,-13.015873,0.769663,-3.95286,0.923949,7.40276,1.159892,02014,Comuna 2
2021,,5779,3036,184,2852,52.535041,6.060606,93.939394,62626,7983,4450,3533,12.747102,55.743455,44.256545,27602,12253,6782,5471,44.391711,55.34971,44.65029,4233,1110,600,510,26.222537,54.054054,45.945946,-87.878788,0.064516,11.48691,1.259553,10.699421,1.239627,8.108108,1.176471,02021,Comuna 3
2028,,8428,4872,249,4623,57.807309,5.110837,94.889163,66499,10881,6812,4069,16.362652,62.60454,37.39546,28783,15293,8757,6536,53.132057,57.261492,42.738508,4869,1449,899,550,29.759704,62.042788,37.957212,-89.778325,0.053861,25.20908,1.674121,14.522984,1.33981,24.085576,1.634545,02028,Comuna 4
2035,,3819,1921,117,1804,50.301126,6.090578,93.909422,67488,5896,3186,2710,8.736368,54.036635,45.963365,28378,9898,5234,4664,34.879132,52.87937,47.12063,4259,914,519,395,21.460437,56.78337,43.21663,-87.818844,0.064856,8.07327,1.175646,5.758739,1.122213,13.56674,1.313924,02035,Comuna 5
2042,,2554,1223,82,1141,47.88567,6.704824,93.295176,68464,4478,2206,2272,6.540664,49.263064,50.736936,30788,9009,4578,4431,29.261401,50.815851,49.184149,5350,871,478,393,16.280374,54.879449,45.120551,-86.590352,0.071867,-1.473872,0.970951,1.631702,1.033175,9.758898,1.216285,02042,Comuna 6
2049,,4335,2466,135,2331,56.885813,5.474453,94.525547,63872,7181,3947,3234,11.242798,54.96449,45.03551,31481,12933,7086,5847,41.081922,54.790072,45.209928,5087,1020,557,463,20.051111,54.607843,45.392157,-89.051095,0.057915,9.928979,1.22047,9.580144,1.211904,9.215686,1.203024,02049,Comuna 7
2056,,7253,4732,245,4487,65.241969,5.177515,94.822485,50290,12955,8042,4913,25.760589,62.076418,37.923582,25834,17318,9761,7557,67.035689,56.363321,43.636679,3996,1593,988,605,39.864865,62.021343,37.978657,-89.64497,0.054602,24.152837,1.636882,12.726643,1.29165,24.042687,1.633058,02056,Comuna 8
2063,,3580,2275,149,2126,63.547486,6.549451,93.450549,45559,6568,3890,2678,14.416471,59.226553,40.773447,25771,11440,6596,4844,44.390982,57.657343,42.342657,3691,855,526,329,23.164454,61.520468,38.479532,-86.901099,0.070085,18.453106,1.452577,15.314685,1.361685,23.040936,1.598784,02063,Comuna 9
2070,,2866,1744,104,1640,60.851361,5.963303,94.036697,51290,5304,2947,2357,10.341197,55.56184,44.43816,26572,9861,5498,4363,37.110492,55.754994,44.245006,3920,746,456,290,19.030612,61.126005,38.873995,-88.073394,0.063415,11.12368,1.250318,11.509989,1.260142,22.252011,1.572414,02070,Comuna 10
